date,year,month,day,doy,alb,alb_rejected
1999-01-01,1999,1,1,1,nan,0.488
1999-01-02,1999,1,2,2,0.756,nan
1999-01-03,1999,1,3,3,nan,0.585
1999-01-04,1999,1,4,4,0.958,nan
1999-01-05,1999,1,5,5,nan,0.652
1999-01-06,1999,1,6,6,nan,0.450
1999-01-07,1999,1,7,7,nan,0.981
1999-01-08,1999,1,8,8,0.918,nan
1999-01-09,1999,1,9,9,0.791,nan
1999-01-10,1999,1,10,10,nan,nan
1999-01-11,1999,1,11,11,0.783,nan
1999-01-12,1999,1,12,12,nan,nan
1999-01-13,1999,1,13,13,0.940,nan
1999-01-14,1999,1,14,14,0.850,nan
1999-01-15,1999,1,15,15,0.863,nan
1999-01-16,1999,1,16,16,0.850,nan
1999-01-17,1999,1,17,17,0.848,nan
1999-01-18,1999,1,18,18,0.767,nan
1999-01-19,1999,1,19,19,0.789,nan
1999-01-20,1999,1,20,20,0.763,nan
1999-01-21,1999,1,21,21,0.769,nan
1999-01-22,1999,1,22,22,0.792,nan
1999-01-23,1999,1,23,23,0.850,nan
1999-01-24,1999,1,24,24,0.755,nan
1999-01-25,1999,1,25,25,0.779,nan
1999-01-26,1999,1,26,26,0.757,nan
1999-01-27,1999,1,27,27,0.768,nan
1999-01-28,1999,1,28,28,nan,nan
1999-01-29,1999,1,29,29,0.788,nan
1999-01-30,1999,1,30,30,0.865,nan
1999-01-31,1999,1,31,31,0.854,nan
1999-02-01,1999,2,1,32,0.850,nan
1999-02-02,1999,2,2,33,0.850,nan
1999-02-03,1999,2,3,34,nan,0.750
1999-02-04,1999,2,4,35,0.769,nan
1999-02-05,1999,2,5,36,0.850,nan
1999-02-06,1999,2,6,37,0.850,nan
1999-02-07,1999,2,7,38,0.829,nan
1999-02-08,1999,2,8,39,0.814,nan
1999-02-09,1999,2,9,40,0.768,nan
1999-02-10,1999,2,10,41,0.765,nan
1999-02-11,1999,2,11,42,0.814,nan
1999-02-12,1999,2,12,43,0.850,nan
1999-02-13,1999,2,13,44,0.850,nan
1999-02-14,1999,2,14,45,0.801,nan
1999-02-15,1999,2,15,46,0.928,nan
1999-02-16,1999,2,16,47,0.815,nan
1999-02-17,1999,2,17,48,nan,0.702
1999-02-18,1999,2,18,49,0.850,nan
1999-02-19,1999,2,19,50,0.850,nan
1999-02-20,1999,2,20,51,0.850,nan
1999-02-21,1999,2,21,52,0.849,nan
1999-02-22,1999,2,22,53,nan,0.686
1999-02-23,1999,2,23,54,0.788,nan
1999-02-24,1999,2,24,55,0.775,nan
1999-02-25,1999,2,25,56,0.912,nan
1999-02-26,1999,2,26,57,nan,0.399
1999-02-27,1999,2,27,58,nan,0.697
1999-02-28,1999,2,28,59,nan,0.568
1999-03-01,1999,3,1,60,nan,0.728
1999-03-02,1999,3,2,61,0.885,nan
1999-03-03,1999,3,3,62,0.765,nan
1999-03-04,1999,3,4,63,nan,0.719
1999-03-05,1999,3,5,64,0.760,nan
1999-03-06,1999,3,6,65,0.893,nan
1999-03-07,1999,3,7,66,0.777,nan
1999-03-08,1999,3,8,67,0.771,nan
1999-03-09,1999,3,9,68,0.816,nan
1999-03-10,1999,3,10,69,0.757,nan
1999-03-11,1999,3,11,70,0.822,nan
1999-03-12,1999,3,12,71,0.763,nan
1999-03-13,1999,3,13,72,0.865,nan
1999-03-14,1999,3,14,73,0.757,nan
1999-03-15,1999,3,15,74,0.756,nan
1999-03-16,1999,3,16,75,0.768,nan
1999-03-17,1999,3,17,76,0.754,nan
1999-03-18,1999,3,18,77,0.792,nan
1999-03-19,1999,3,19,78,0.789,nan
1999-03-20,1999,3,20,79,0.807,nan
1999-03-21,1999,3,21,80,0.784,nan
1999-03-22,1999,3,22,81,0.891,nan
1999-03-23,1999,3,23,82,0.802,nan
1999-03-24,1999,3,24,83,0.820,nan
1999-03-25,1999,3,25,84,0.797,nan
1999-03-26,1999,3,26,85,nan,0.744
1999-03-27,1999,3,27,86,0.802,nan
1999-03-28,1999,3,28,87,0.828,nan
1999-03-29,1999,3,29,88,0.807,nan
1999-03-30,1999,3,30,89,0.777,nan
1999-03-31,1999,3,31,90,0.775,nan
1999-04-01,1999,4,1,91,0.772,nan
1999-04-02,1999,4,2,92,0.771,nan
1999-04-03,1999,4,3,93,0.767,nan
