date,year,month,day,doy,alb,alb_rejected
2001-01-01,2001,1,1,1,0.781,nan
2001-01-02,2001,1,2,2,0.569,nan
2001-01-03,2001,1,3,3,0.481,nan
2001-01-04,2001,1,4,4,0.700,nan
2001-01-05,2001,1,5,5,0.612,nan
2001-01-06,2001,1,6,6,0.613,nan
2001-01-07,2001,1,7,7,0.721,nan
2001-01-08,2001,1,8,8,0.704,nan
2001-01-09,2001,1,9,9,0.687,nan
2001-01-10,2001,1,10,10,0.852,nan
2001-01-11,2001,1,11,11,0.620,nan
2001-01-12,2001,1,12,12,0.770,nan
2001-01-13,2001,1,13,13,0.719,nan
2001-01-14,2001,1,14,14,0.776,nan
2001-01-15,2001,1,15,15,0.862,nan
2001-01-16,2001,1,16,16,nan,nan
2001-01-17,2001,1,17,17,nan,nan
2001-01-18,2001,1,18,18,0.799,nan
2001-01-19,2001,1,19,19,0.759,nan
2001-01-20,2001,1,20,20,0.709,nan
2001-01-21,2001,1,21,21,0.830,nan
2001-01-22,2001,1,22,22,0.839,nan
2001-01-23,2001,1,23,23,0.816,nan
2001-01-24,2001,1,24,24,0.733,nan
2001-01-25,2001,1,25,25,0.730,nan
2001-01-26,2001,1,26,26,0.875,nan
2001-01-27,2001,1,27,27,0.901,nan
2001-01-28,2001,1,28,28,0.854,nan
2001-01-29,2001,1,29,29,0.732,nan
2001-01-30,2001,1,30,30,0.755,nan
2001-01-31,2001,1,31,31,0.749,nan
2001-02-01,2001,2,1,32,0.836,nan
2001-02-02,2001,2,2,33,0.748,nan
2001-02-03,2001,2,3,34,0.825,nan
2001-02-04,2001,2,4,35,0.807,nan
2001-02-05,2001,2,5,36,0.751,nan
2001-02-06,2001,2,6,37,0.754,nan
2001-02-07,2001,2,7,38,0.754,nan
2001-02-08,2001,2,8,39,0.800,nan
2001-02-09,2001,2,9,40,0.751,nan
2001-02-10,2001,2,10,41,0.748,nan
2001-02-11,2001,2,11,42,0.887,nan
2001-02-12,2001,2,12,43,0.802,nan
2001-02-13,2001,2,13,44,0.726,nan
2001-02-14,2001,2,14,45,0.791,nan
2001-02-15,2001,2,15,46,0.802,nan
2001-02-16,2001,2,16,47,0.828,nan
2001-02-17,2001,2,17,48,0.755,nan
2001-02-18,2001,2,18,49,0.809,nan
2001-02-19,2001,2,19,50,0.751,nan
2001-02-20,2001,2,20,51,0.727,nan
2001-02-21,2001,2,21,52,0.788,nan
