date,year,month,day,doy,alb,alb_rejected
2007-01-01,2007,1,1,1,0.866,nan
2007-01-02,2007,1,2,2,0.915,nan
2007-01-03,2007,1,3,3,0.828,nan
2007-01-04,2007,1,4,4,0.799,nan
2007-01-05,2007,1,5,5,0.893,nan
2007-01-06,2007,1,6,6,0.876,nan
2007-01-07,2007,1,7,7,0.842,nan
2007-01-08,2007,1,8,8,0.842,nan
2007-01-09,2007,1,9,9,0.877,nan
2007-01-10,2007,1,10,10,0.857,nan
2007-01-11,2007,1,11,11,0.842,nan
2007-01-12,2007,1,12,12,0.837,nan
2007-01-13,2007,1,13,13,0.840,nan
2007-01-14,2007,1,14,14,0.843,nan
2007-01-15,2007,1,15,15,0.841,nan
2007-01-16,2007,1,16,16,0.840,nan
2007-01-17,2007,1,17,17,0.942,nan
2007-01-18,2007,1,18,18,0.815,nan
2007-01-19,2007,1,19,19,0.846,nan
2007-01-20,2007,1,20,20,0.842,nan
2007-01-21,2007,1,21,21,0.826,nan
2007-01-22,2007,1,22,22,0.827,nan
2007-01-23,2007,1,23,23,0.844,nan
2007-01-24,2007,1,24,24,0.829,nan
2007-01-25,2007,1,25,25,0.820,nan
2007-01-26,2007,1,26,26,0.819,nan
2007-01-27,2007,1,27,27,0.842,nan
2007-01-28,2007,1,28,28,0.873,nan
2007-01-29,2007,1,29,29,0.872,nan
2007-01-30,2007,1,30,30,0.888,nan
2007-01-31,2007,1,31,31,0.889,nan
2007-02-01,2007,2,1,32,0.877,nan
2007-02-02,2007,2,2,33,0.843,nan
2007-02-03,2007,2,3,34,0.861,nan
2007-02-04,2007,2,4,35,0.828,nan
2007-02-05,2007,2,5,36,0.831,nan
2007-02-06,2007,2,6,37,0.862,nan
2007-02-07,2007,2,7,38,0.884,nan
2007-02-08,2007,2,8,39,0.842,nan
2007-02-09,2007,2,9,40,0.848,nan
2007-02-10,2007,2,10,41,0.841,nan
2007-02-11,2007,2,11,42,0.838,nan
2007-02-12,2007,2,12,43,0.842,nan
2007-02-13,2007,2,13,44,0.845,nan
2007-02-14,2007,2,14,45,0.908,nan
2007-02-15,2007,2,15,46,0.930,nan
2007-02-16,2007,2,16,47,0.888,nan
2007-02-17,2007,2,17,48,0.888,nan
2007-02-18,2007,2,18,49,0.843,nan
2007-02-19,2007,2,19,50,0.824,nan
2007-02-20,2007,2,20,51,0.834,nan
2007-02-21,2007,2,21,52,0.854,nan
2007-02-22,2007,2,22,53,0.840,nan
2007-02-23,2007,2,23,54,0.841,nan
2007-02-24,2007,2,24,55,0.841,nan
2007-02-25,2007,2,25,56,0.841,nan
2007-02-26,2007,2,26,57,0.841,nan
2007-02-27,2007,2,27,58,0.869,nan
2007-02-28,2007,2,28,59,0.840,nan
2007-03-01,2007,3,1,60,0.861,nan
2007-03-02,2007,3,2,61,0.841,nan
2007-03-03,2007,3,3,62,0.926,nan
2007-03-04,2007,3,4,63,0.942,nan
2007-03-05,2007,3,5,64,0.963,nan
2007-03-06,2007,3,6,65,0.969,nan
2007-03-07,2007,3,7,66,0.915,nan
2007-03-08,2007,3,8,67,0.856,nan
2007-03-09,2007,3,9,68,0.954,nan
2007-03-10,2007,3,10,69,0.947,nan
2007-03-11,2007,3,11,70,0.906,nan
2007-03-12,2007,3,12,71,0.839,nan
2007-03-13,2007,3,13,72,0.868,nan
2007-03-14,2007,3,14,73,0.944,nan
2007-03-15,2007,3,15,74,0.831,nan
2007-03-16,2007,3,16,75,0.855,nan
2007-03-17,2007,3,17,76,0.913,nan
2007-03-18,2007,3,18,77,0.891,nan
2007-03-19,2007,3,19,78,0.840,nan
2007-03-20,2007,3,20,79,0.904,nan
2007-03-21,2007,3,21,80,0.836,nan
2007-03-22,2007,3,22,81,0.949,nan
2007-03-23,2007,3,23,82,0.953,nan
2007-03-24,2007,3,24,83,0.919,nan
2007-03-25,2007,3,25,84,0.905,nan
2007-03-26,2007,3,26,85,0.935,nan
2007-03-27,2007,3,27,86,0.883,nan
2007-03-28,2007,3,28,87,0.840,nan
2007-03-29,2007,3,29,88,0.901,nan
2007-03-30,2007,3,30,89,0.920,nan
2007-03-31,2007,3,31,90,0.925,nan
2007-04-01,2007,4,1,91,0.856,nan
2007-04-02,2007,4,2,92,0.847,nan
2007-04-03,2007,4,3,93,0.892,nan
2007-04-04,2007,4,4,94,0.919,nan
2007-04-05,2007,4,5,95,0.865,nan
2007-04-06,2007,4,6,96,0.911,nan
2007-04-07,2007,4,7,97,0.934,nan
2007-04-08,2007,4,8,98,0.906,nan
2007-04-09,2007,4,9,99,0.917,nan
2007-04-10,2007,4,10,100,0.871,nan
2007-04-11,2007,4,11,101,0.874,nan
2007-04-12,2007,4,12,102,0.918,nan
2007-04-13,2007,4,13,103,0.894,nan
2007-04-14,2007,4,14,104,0.895,nan
2007-04-15,2007,4,15,105,0.891,nan
2007-04-16,2007,4,16,106,0.880,nan
2007-04-17,2007,4,17,107,0.923,nan
2007-04-18,2007,4,18,108,0.880,nan
2007-04-19,2007,4,19,109,0.879,nan
2007-04-20,2007,4,20,110,0.892,nan
2007-04-21,2007,4,21,111,0.884,nan
2007-04-22,2007,4,22,112,0.876,nan
2007-04-23,2007,4,23,113,0.875,nan
2007-04-24,2007,4,24,114,0.867,nan
2007-04-25,2007,4,25,115,0.866,nan
2007-04-26,2007,4,26,116,0.852,nan
2007-04-27,2007,4,27,117,0.848,nan
2007-04-28,2007,4,28,118,0.856,nan
2007-04-29,2007,4,29,119,0.847,nan
2007-04-30,2007,4,30,120,0.839,nan
2007-05-01,2007,5,1,121,0.853,nan
2007-05-02,2007,5,2,122,0.883,nan
2007-05-03,2007,5,3,123,0.849,nan
2007-05-04,2007,5,4,124,0.848,nan
2007-05-05,2007,5,5,125,0.847,nan
2007-05-06,2007,5,6,126,0.870,nan
2007-05-07,2007,5,7,127,0.862,nan
2007-05-08,2007,5,8,128,0.861,nan
2007-05-09,2007,5,9,129,0.863,nan
2007-05-10,2007,5,10,130,0.842,nan
2007-05-11,2007,5,11,131,0.841,nan
2007-05-12,2007,5,12,132,0.847,nan
2007-05-13,2007,5,13,133,0.848,nan
2007-05-14,2007,5,14,134,0.845,nan
2007-05-15,2007,5,15,135,0.845,nan
2007-05-16,2007,5,16,136,0.833,nan
2007-05-17,2007,5,17,137,0.838,nan
2007-05-18,2007,5,18,138,0.850,nan
2007-05-19,2007,5,19,139,0.839,nan
2007-05-20,2007,5,20,140,0.840,nan
2007-05-21,2007,5,21,141,0.843,nan
2007-05-22,2007,5,22,142,0.843,nan
2007-05-23,2007,5,23,143,0.845,nan
2007-05-24,2007,5,24,144,0.831,nan
2007-05-25,2007,5,25,145,0.839,nan
2007-05-26,2007,5,26,146,0.831,nan
2007-05-27,2007,5,27,147,0.842,nan
2007-05-28,2007,5,28,148,0.845,nan
2007-05-29,2007,5,29,149,0.840,nan
2007-05-30,2007,5,30,150,0.838,nan
2007-05-31,2007,5,31,151,0.829,nan
2007-06-01,2007,6,1,152,0.843,nan
2007-06-02,2007,6,2,153,0.840,nan
2007-06-03,2007,6,3,154,0.821,nan
2007-06-04,2007,6,4,155,0.831,nan
2007-06-05,2007,6,5,156,0.831,nan
2007-06-06,2007,6,6,157,0.814,nan
2007-06-07,2007,6,7,158,0.819,nan
2007-06-08,2007,6,8,159,0.826,nan
2007-06-09,2007,6,9,160,0.891,nan
2007-06-10,2007,6,10,161,0.721,nan
2007-06-11,2007,6,11,162,0.732,nan
2007-06-12,2007,6,12,163,0.688,nan
2007-06-13,2007,6,13,164,0.765,nan
2007-06-14,2007,6,14,165,0.806,nan
2007-06-15,2007,6,15,166,0.789,nan
2007-06-16,2007,6,16,167,0.827,nan
2007-06-17,2007,6,17,168,0.819,nan
2007-06-18,2007,6,18,169,0.816,nan
2007-06-19,2007,6,19,170,0.847,nan
2007-06-20,2007,6,20,171,0.851,nan
2007-06-21,2007,6,21,172,0.845,nan
2007-06-22,2007,6,22,173,0.759,nan
2007-06-23,2007,6,23,174,0.742,nan
2007-06-24,2007,6,24,175,0.742,nan
2007-06-25,2007,6,25,176,0.715,nan
2007-06-26,2007,6,26,177,0.727,nan
2007-06-27,2007,6,27,178,0.725,nan
2007-06-28,2007,6,28,179,0.727,nan
2007-06-29,2007,6,29,180,0.728,nan
2007-06-30,2007,6,30,181,0.736,nan
2007-07-01,2007,7,1,182,0.765,nan
2007-07-02,2007,7,2,183,0.787,nan
2007-07-03,2007,7,3,184,0.798,nan
2007-07-04,2007,7,4,185,0.789,nan
2007-07-05,2007,7,5,186,0.774,nan
2007-07-06,2007,7,6,187,0.776,nan
2007-07-07,2007,7,7,188,0.746,nan
2007-07-08,2007,7,8,189,0.735,nan
2007-07-09,2007,7,9,190,0.748,nan
2007-07-10,2007,7,10,191,0.735,nan
2007-07-11,2007,7,11,192,0.735,nan
2007-07-12,2007,7,12,193,0.731,nan
2007-07-13,2007,7,13,194,0.722,nan
2007-07-14,2007,7,14,195,0.719,nan
2007-07-15,2007,7,15,196,0.711,nan
2007-07-16,2007,7,16,197,0.711,nan
2007-07-17,2007,7,17,198,0.722,nan
2007-07-18,2007,7,18,199,0.700,nan
2007-07-19,2007,7,19,200,0.771,nan
2007-07-20,2007,7,20,201,0.760,nan
2007-07-21,2007,7,21,202,0.818,nan
2007-07-22,2007,7,22,203,0.798,nan
2007-07-23,2007,7,23,204,0.776,nan
2007-07-24,2007,7,24,205,0.792,nan
2007-07-25,2007,7,25,206,0.820,nan
2007-07-26,2007,7,26,207,0.855,nan
2007-07-27,2007,7,27,208,0.856,nan
2007-07-28,2007,7,28,209,0.849,nan
2007-07-29,2007,7,29,210,0.853,nan
2007-07-30,2007,7,30,211,0.847,nan
2007-07-31,2007,7,31,212,0.861,nan
2007-08-01,2007,8,1,213,0.855,nan
2007-08-02,2007,8,2,214,0.827,nan
2007-08-03,2007,8,3,215,0.833,nan
2007-08-04,2007,8,4,216,0.841,nan
2007-08-05,2007,8,5,217,0.831,nan
2007-08-06,2007,8,6,218,0.755,nan
2007-08-07,2007,8,7,219,0.826,nan
2007-08-08,2007,8,8,220,0.813,nan
2007-08-09,2007,8,9,221,0.805,nan
2007-08-10,2007,8,10,222,0.804,nan
2007-08-11,2007,8,11,223,0.793,nan
2007-08-12,2007,8,12,224,0.764,nan
2007-08-13,2007,8,13,225,0.770,nan
2007-08-14,2007,8,14,226,0.784,nan
2007-08-15,2007,8,15,227,0.801,nan
2007-08-16,2007,8,16,228,0.804,nan
2007-08-17,2007,8,17,229,0.812,nan
2007-08-18,2007,8,18,230,0.846,nan
2007-08-19,2007,8,19,231,0.813,nan
2007-08-20,2007,8,20,232,0.799,nan
2007-08-21,2007,8,21,233,0.827,nan
2007-08-22,2007,8,22,234,0.851,nan
2007-08-23,2007,8,23,235,0.845,nan
2007-08-24,2007,8,24,236,0.879,nan
2007-08-25,2007,8,25,237,0.859,nan
2007-08-26,2007,8,26,238,0.824,nan
2007-08-27,2007,8,27,239,0.827,nan
2007-08-28,2007,8,28,240,0.698,nan
2007-08-29,2007,8,29,241,0.694,nan
2007-08-30,2007,8,30,242,0.846,nan
2007-08-31,2007,8,31,243,0.832,nan
2007-09-01,2007,9,1,244,0.854,nan
2007-09-02,2007,9,2,245,0.899,nan
2007-09-03,2007,9,3,246,0.843,nan
2007-09-04,2007,9,4,247,0.851,nan
2007-09-05,2007,9,5,248,0.905,nan
2007-09-06,2007,9,6,249,0.903,nan
2007-09-07,2007,9,7,250,0.848,nan
2007-09-08,2007,9,8,251,0.850,nan
2007-09-09,2007,9,9,252,0.861,nan
2007-09-10,2007,9,10,253,0.855,nan
2007-09-11,2007,9,11,254,0.935,nan
2007-09-12,2007,9,12,255,0.922,nan
2007-09-13,2007,9,13,256,0.924,nan
2007-09-14,2007,9,14,257,0.927,nan
2007-09-15,2007,9,15,258,0.845,nan
2007-09-16,2007,9,16,259,0.852,nan
2007-09-17,2007,9,17,260,0.916,nan
2007-09-18,2007,9,18,261,0.897,nan
2007-09-19,2007,9,19,262,0.887,nan
2007-09-20,2007,9,20,263,0.912,nan
2007-09-21,2007,9,21,264,0.857,nan
2007-09-22,2007,9,22,265,0.906,nan
2007-09-23,2007,9,23,266,0.893,nan
