date,year,month,day,doy,alb,alb_rejected
2004-01-01,2004,1,1,1,nan,0.000
2004-01-02,2004,1,2,2,nan,nan
2004-01-03,2004,1,3,3,nan,nan
2004-01-04,2004,1,4,4,nan,nan
2004-01-05,2004,1,5,5,nan,nan
2004-01-06,2004,1,6,6,nan,nan
2004-01-07,2004,1,7,7,nan,0.000
2004-01-08,2004,1,8,8,nan,0.000
2004-01-09,2004,1,9,9,nan,0.000
2004-01-10,2004,1,10,10,nan,nan
2004-01-11,2004,1,11,11,nan,nan
2004-01-12,2004,1,12,12,nan,nan
2004-01-13,2004,1,13,13,nan,0.000
2004-01-14,2004,1,14,14,nan,nan
2004-01-15,2004,1,15,15,nan,0.000
2004-01-16,2004,1,16,16,nan,0.152
2004-01-17,2004,1,17,17,nan,nan
2004-01-18,2004,1,18,18,nan,0.000
2004-01-19,2004,1,19,19,nan,nan
2004-01-20,2004,1,20,20,0.900,nan
2004-01-21,2004,1,21,21,nan,0.458
2004-01-22,2004,1,22,22,nan,0.000
2004-01-23,2004,1,23,23,nan,0.325
2004-01-24,2004,1,24,24,nan,0.055
2004-01-25,2004,1,25,25,nan,0.300
2004-01-26,2004,1,26,26,nan,0.741
2004-01-27,2004,1,27,27,nan,0.737
2004-01-28,2004,1,28,28,0.822,nan
2004-01-29,2004,1,29,29,0.906,nan
2004-01-30,2004,1,30,30,0.940,nan
2004-01-31,2004,1,31,31,0.783,nan
2004-02-01,2004,2,1,32,nan,0.584
2004-02-02,2004,2,2,33,nan,0.716
2004-02-03,2004,2,3,34,nan,0.584
2004-02-04,2004,2,4,35,nan,0.483
2004-02-05,2004,2,5,36,nan,0.597
2004-02-06,2004,2,6,37,nan,0.716
2004-02-07,2004,2,7,38,nan,0.502
2004-02-08,2004,2,8,39,nan,0.396
2004-02-09,2004,2,9,40,nan,0.780
2004-02-10,2004,2,10,41,nan,0.697
2004-02-11,2004,2,11,42,0.824,nan
2004-02-12,2004,2,12,43,0.852,nan
2004-02-13,2004,2,13,44,0.796,nan
2004-02-14,2004,2,14,45,nan,0.743
2004-02-15,2004,2,15,46,nan,0.584
2004-02-16,2004,2,16,47,nan,0.749
2004-02-17,2004,2,17,48,0.900,nan
2004-02-18,2004,2,18,49,0.797,nan
2004-02-19,2004,2,19,50,nan,0.683
2004-02-20,2004,2,20,51,nan,0.778
2004-02-21,2004,2,21,52,nan,0.779
2004-02-22,2004,2,22,53,0.963,nan
2004-02-23,2004,2,23,54,0.786,nan
2004-02-24,2004,2,24,55,0.801,nan
2004-02-25,2004,2,25,56,nan,0.779
2004-02-26,2004,2,26,57,0.943,nan
2004-02-27,2004,2,27,58,nan,0.779
2004-02-28,2004,2,28,59,nan,0.779
2004-02-29,2004,2,29,60,nan,0.778
2004-03-01,2004,3,1,61,nan,0.779
2004-03-02,2004,3,2,62,0.944,nan
2004-03-03,2004,3,3,63,0.941,nan
2004-03-04,2004,3,4,64,0.878,nan
2004-03-05,2004,3,5,65,0.804,nan
2004-03-06,2004,3,6,66,0.814,nan
2004-03-07,2004,3,7,67,0.916,nan
2004-03-08,2004,3,8,68,0.940,nan
2004-03-09,2004,3,9,69,0.883,nan
2004-03-10,2004,3,10,70,0.845,nan
2004-03-11,2004,3,11,71,0.842,nan
2004-03-12,2004,3,12,72,0.859,nan
2004-03-13,2004,3,13,73,0.850,nan
2004-03-14,2004,3,14,74,0.821,nan
2004-03-15,2004,3,15,75,0.876,nan
2004-03-16,2004,3,16,76,0.826,nan
2004-03-17,2004,3,17,77,0.865,nan
2004-03-18,2004,3,18,78,0.813,nan
2004-03-19,2004,3,19,79,0.821,nan
2004-03-20,2004,3,20,80,0.821,nan
2004-03-21,2004,3,21,81,0.834,nan
2004-03-22,2004,3,22,82,0.821,nan
2004-03-23,2004,3,23,83,0.854,nan
2004-03-24,2004,3,24,84,nan,0.750
2004-03-25,2004,3,25,85,0.828,nan
2004-03-26,2004,3,26,86,0.817,nan
2004-03-27,2004,3,27,87,0.822,nan
2004-03-28,2004,3,28,88,0.846,nan
2004-03-29,2004,3,29,89,0.827,nan
2004-03-30,2004,3,30,90,0.901,nan
2004-03-31,2004,3,31,91,0.848,nan
2004-04-01,2004,4,1,92,0.826,nan
2004-04-02,2004,4,2,93,0.832,nan
2004-04-03,2004,4,3,94,0.839,nan
2004-04-04,2004,4,4,95,0.836,nan
2004-04-05,2004,4,5,96,0.830,nan
2004-04-06,2004,4,6,97,0.835,nan
2004-04-07,2004,4,7,98,0.839,nan
2004-04-08,2004,4,8,99,0.794,nan
2004-04-09,2004,4,9,100,nan,nan
2004-04-10,2004,4,10,101,nan,nan
2004-04-11,2004,4,11,102,nan,nan
2004-04-12,2004,4,12,103,nan,nan
2004-04-13,2004,4,13,104,nan,nan
2004-04-14,2004,4,14,105,nan,nan
2004-04-15,2004,4,15,106,nan,nan
2004-04-16,2004,4,16,107,nan,nan
2004-04-17,2004,4,17,108,nan,nan
2004-04-18,2004,4,18,109,0.874,nan
2004-04-19,2004,4,19,110,0.833,nan
2004-04-20,2004,4,20,111,0.872,nan
2004-04-21,2004,4,21,112,0.832,nan
2004-04-22,2004,4,22,113,0.816,nan
2004-04-23,2004,4,23,114,0.859,nan
2004-04-24,2004,4,24,115,0.842,nan
2004-04-25,2004,4,25,116,0.832,nan
2004-04-26,2004,4,26,117,0.818,nan
2004-04-27,2004,4,27,118,0.799,nan
2004-04-28,2004,4,28,119,0.843,nan
2004-04-29,2004,4,29,120,0.819,nan
2004-04-30,2004,4,30,121,0.817,nan
2004-05-01,2004,5,1,122,0.816,nan
2004-05-02,2004,5,2,123,0.821,nan
2004-05-03,2004,5,3,124,0.821,nan
2004-05-04,2004,5,4,125,0.817,nan
2004-05-05,2004,5,5,126,0.832,nan
2004-05-06,2004,5,6,127,0.824,nan
2004-05-07,2004,5,7,128,0.830,nan
2004-05-08,2004,5,8,129,0.809,nan
2004-05-09,2004,5,9,130,0.809,nan
2004-05-10,2004,5,10,131,0.831,nan
2004-05-11,2004,5,11,132,0.824,nan
2004-05-12,2004,5,12,133,0.817,nan
2004-05-13,2004,5,13,134,0.822,nan
2004-05-14,2004,5,14,135,0.824,nan
2004-05-15,2004,5,15,136,0.811,nan
2004-05-16,2004,5,16,137,0.814,nan
2004-05-17,2004,5,17,138,0.821,nan
2004-05-18,2004,5,18,139,0.819,nan
2004-05-19,2004,5,19,140,0.826,nan
2004-05-20,2004,5,20,141,0.812,nan
2004-05-21,2004,5,21,142,0.811,nan
2004-05-22,2004,5,22,143,0.819,nan
2004-05-23,2004,5,23,144,0.809,nan
2004-05-24,2004,5,24,145,0.818,nan
2004-05-25,2004,5,25,146,0.815,nan
2004-05-26,2004,5,26,147,0.823,nan
2004-05-27,2004,5,27,148,0.805,nan
2004-05-28,2004,5,28,149,0.800,nan
2004-05-29,2004,5,29,150,0.797,nan
2004-05-30,2004,5,30,151,0.798,nan
2004-05-31,2004,5,31,152,0.792,nan
2004-06-01,2004,6,1,153,0.817,nan
2004-06-02,2004,6,2,154,0.798,nan
2004-06-03,2004,6,3,155,0.793,nan
2004-06-04,2004,6,4,156,0.789,nan
2004-06-05,2004,6,5,157,0.802,nan
2004-06-06,2004,6,6,158,0.791,nan
2004-06-07,2004,6,7,159,0.807,nan
2004-06-08,2004,6,8,160,0.811,nan
2004-06-09,2004,6,9,161,0.813,nan
2004-06-10,2004,6,10,162,0.810,nan
2004-06-11,2004,6,11,163,0.814,nan
2004-06-12,2004,6,12,164,0.812,nan
2004-06-13,2004,6,13,165,0.804,nan
2004-06-14,2004,6,14,166,0.815,nan
