date,year,month,day,doy,alb,alb_rejected
2010-01-01,2010,1,1,1,nan,0.143
2010-01-02,2010,1,2,2,nan,0.667
2010-01-03,2010,1,3,3,nan,0.665
2010-01-04,2010,1,4,4,nan,0.554
2010-01-05,2010,1,5,5,nan,0.297
2010-01-06,2010,1,6,6,nan,0.326
2010-01-07,2010,1,7,7,nan,0.385
2010-01-08,2010,1,8,8,nan,0.495
2010-01-09,2010,1,9,9,nan,0.380
2010-01-10,2010,1,10,10,nan,0.575
2010-01-11,2010,1,11,11,nan,0.634
2010-01-12,2010,1,12,12,0.871,nan
2010-01-13,2010,1,13,13,nan,0.620
2010-01-14,2010,1,14,14,nan,0.571
2010-01-15,2010,1,15,15,nan,0.599
2010-01-16,2010,1,16,16,0.710,nan
2010-01-17,2010,1,17,17,nan,nan
2010-01-18,2010,1,18,18,nan,0.614
2010-01-19,2010,1,19,19,0.742,nan
2010-01-20,2010,1,20,20,0.770,nan
2010-01-21,2010,1,21,21,0.888,nan
2010-01-22,2010,1,22,22,0.831,nan
2010-01-23,2010,1,23,23,nan,nan
2010-01-24,2010,1,24,24,0.841,nan
2010-01-25,2010,1,25,25,0.730,nan
2010-01-26,2010,1,26,26,0.902,nan
2010-01-27,2010,1,27,27,0.754,nan
2010-01-28,2010,1,28,28,0.769,nan
2010-01-29,2010,1,29,29,0.799,nan
2010-01-30,2010,1,30,30,0.802,nan
2010-01-31,2010,1,31,31,0.767,nan
2010-02-01,2010,2,1,32,0.985,nan
2010-02-02,2010,2,2,33,0.893,nan
2010-02-03,2010,2,3,34,0.917,nan
2010-02-04,2010,2,4,35,nan,nan
2010-02-05,2010,2,5,36,nan,nan
2010-02-06,2010,2,6,37,0.934,nan
2010-02-07,2010,2,7,38,nan,nan
2010-02-08,2010,2,8,39,nan,nan
2010-02-09,2010,2,9,40,0.830,nan
2010-02-10,2010,2,10,41,nan,nan
2010-02-11,2010,2,11,42,nan,nan
2010-02-12,2010,2,12,43,nan,nan
2010-02-13,2010,2,13,44,nan,nan
2010-02-14,2010,2,14,45,nan,nan
2010-02-15,2010,2,15,46,nan,nan
2010-02-16,2010,2,16,47,0.878,nan
2010-02-17,2010,2,17,48,0.854,nan
2010-02-18,2010,2,18,49,nan,nan
2010-02-19,2010,2,19,50,0.884,nan
2010-02-20,2010,2,20,51,0.842,nan
2010-02-21,2010,2,21,52,0.854,nan
2010-02-22,2010,2,22,53,0.878,nan
2010-02-23,2010,2,23,54,nan,nan
2010-02-24,2010,2,24,55,nan,nan
