date,year,month,day,doy,alb,alb_rejected
2007-01-01,2007,1,1,1,0.912,nan
2007-01-02,2007,1,2,2,0.919,nan
2007-01-03,2007,1,3,3,0.965,nan
2007-01-04,2007,1,4,4,0.930,nan
2007-01-05,2007,1,5,5,0.914,nan
2007-01-06,2007,1,6,6,nan,nan
2007-01-07,2007,1,7,7,nan,nan
2007-01-08,2007,1,8,8,0.917,nan
2007-01-09,2007,1,9,9,nan,nan
2007-01-10,2007,1,10,10,nan,nan
2007-01-11,2007,1,11,11,0.914,nan
2007-01-12,2007,1,12,12,0.918,nan
2007-01-13,2007,1,13,13,0.974,nan
2007-01-14,2007,1,14,14,nan,0.982
2007-01-15,2007,1,15,15,0.952,nan
2007-01-16,2007,1,16,16,0.915,nan
2007-01-17,2007,1,17,17,0.908,nan
2007-01-18,2007,1,18,18,0.963,nan
2007-01-19,2007,1,19,19,0.932,nan
2007-01-20,2007,1,20,20,0.915,nan
2007-01-21,2007,1,21,21,nan,nan
2007-01-22,2007,1,22,22,nan,nan
2007-01-23,2007,1,23,23,nan,0.669
2007-01-24,2007,1,24,24,0.838,nan
2007-01-25,2007,1,25,25,0.918,nan
2007-01-26,2007,1,26,26,0.948,nan
2007-01-27,2007,1,27,27,nan,nan
2007-01-28,2007,1,28,28,0.836,nan
2007-01-29,2007,1,29,29,0.823,nan
2007-01-30,2007,1,30,30,nan,nan
2007-01-31,2007,1,31,31,0.862,nan
2007-02-01,2007,2,1,32,nan,0.982
2007-02-02,2007,2,2,33,nan,nan
2007-02-03,2007,2,3,34,0.968,nan
2007-02-04,2007,2,4,35,nan,nan
2007-02-05,2007,2,5,36,nan,nan
2007-02-06,2007,2,6,37,nan,nan
2007-02-07,2007,2,7,38,nan,nan
2007-02-08,2007,2,8,39,nan,nan
2007-02-09,2007,2,9,40,nan,nan
2007-02-10,2007,2,10,41,nan,nan
2007-02-11,2007,2,11,42,nan,nan
2007-02-12,2007,2,12,43,nan,nan
2007-02-13,2007,2,13,44,nan,nan
2007-02-14,2007,2,14,45,nan,nan
2007-02-15,2007,2,15,46,nan,nan
2007-02-16,2007,2,16,47,nan,nan
2007-02-17,2007,2,17,48,nan,nan
2007-02-18,2007,2,18,49,nan,nan
2007-02-19,2007,2,19,50,nan,nan
2007-02-20,2007,2,20,51,nan,nan
2007-02-21,2007,2,21,52,nan,nan
2007-02-22,2007,2,22,53,nan,nan
2007-02-23,2007,2,23,54,nan,nan
2007-02-24,2007,2,24,55,nan,nan
2007-02-25,2007,2,25,56,nan,nan
2007-02-26,2007,2,26,57,nan,nan
2007-02-27,2007,2,27,58,nan,nan
2007-02-28,2007,2,28,59,nan,nan
2007-03-01,2007,3,1,60,nan,nan
2007-03-02,2007,3,2,61,nan,nan
2007-03-03,2007,3,3,62,nan,nan
2007-03-04,2007,3,4,63,nan,nan
2007-03-05,2007,3,5,64,nan,nan
2007-03-06,2007,3,6,65,nan,nan
2007-03-07,2007,3,7,66,nan,nan
2007-03-08,2007,3,8,67,nan,nan
2007-03-09,2007,3,9,68,nan,nan
2007-03-10,2007,3,10,69,nan,nan
2007-03-11,2007,3,11,70,nan,nan
2007-03-12,2007,3,12,71,nan,nan
2007-03-13,2007,3,13,72,nan,nan
2007-03-14,2007,3,14,73,nan,nan
2007-03-15,2007,3,15,74,nan,nan
2007-03-16,2007,3,16,75,nan,nan
2007-03-17,2007,3,17,76,nan,nan
2007-03-18,2007,3,18,77,nan,nan
2007-03-19,2007,3,19,78,nan,nan
2007-03-20,2007,3,20,79,nan,nan
2007-03-21,2007,3,21,80,nan,nan
2007-03-22,2007,3,22,81,nan,nan
2007-03-23,2007,3,23,82,nan,nan
2007-03-24,2007,3,24,83,nan,nan
2007-03-25,2007,3,25,84,nan,nan
2007-03-26,2007,3,26,85,nan,nan
2007-03-27,2007,3,27,86,nan,nan
2007-03-28,2007,3,28,87,nan,nan
2007-03-29,2007,3,29,88,nan,nan
2007-03-30,2007,3,30,89,nan,nan
2007-03-31,2007,3,31,90,nan,nan
2007-04-01,2007,4,1,91,nan,nan
2007-04-02,2007,4,2,92,nan,nan
2007-04-03,2007,4,3,93,nan,nan
2007-04-04,2007,4,4,94,nan,nan
2007-04-05,2007,4,5,95,nan,nan
2007-04-06,2007,4,6,96,nan,nan
2007-04-07,2007,4,7,97,nan,nan
2007-04-08,2007,4,8,98,nan,nan
2007-04-09,2007,4,9,99,nan,nan
2007-04-10,2007,4,10,100,nan,nan
2007-04-11,2007,4,11,101,nan,nan
2007-04-12,2007,4,12,102,nan,nan
2007-04-13,2007,4,13,103,nan,nan
2007-04-14,2007,4,14,104,nan,nan
2007-04-15,2007,4,15,105,nan,nan
2007-04-16,2007,4,16,106,nan,nan
2007-04-17,2007,4,17,107,nan,nan
2007-04-18,2007,4,18,108,nan,nan
2007-04-19,2007,4,19,109,nan,nan
2007-04-20,2007,4,20,110,nan,nan
2007-04-21,2007,4,21,111,nan,nan
2007-04-22,2007,4,22,112,nan,nan
2007-04-23,2007,4,23,113,nan,nan
2007-04-24,2007,4,24,114,nan,nan
2007-04-25,2007,4,25,115,nan,nan
2007-04-26,2007,4,26,116,nan,nan
2007-04-27,2007,4,27,117,nan,0.737
