date,year,month,day,doy,alb,alb_rejected
2019-01-01,2019,1,1,1,0.787,nan
2019-01-02,2019,1,2,2,0.875,nan
2019-01-03,2019,1,3,3,0.881,nan
2019-01-04,2019,1,4,4,0.755,nan
2019-01-05,2019,1,5,5,0.899,nan
2019-01-06,2019,1,6,6,nan,nan
2019-01-07,2019,1,7,7,0.863,nan
2019-01-08,2019,1,8,8,nan,0.732
2019-01-09,2019,1,9,9,0.864,nan
2019-01-10,2019,1,10,10,0.936,nan
2019-01-11,2019,1,11,11,nan,nan
2019-01-12,2019,1,12,12,nan,nan
2019-01-13,2019,1,13,13,0.953,nan
2019-01-14,2019,1,14,14,nan,nan
2019-01-15,2019,1,15,15,nan,nan
2019-01-16,2019,1,16,16,0.946,nan
2019-01-17,2019,1,17,17,0.892,nan
2019-01-18,2019,1,18,18,0.867,nan
2019-01-19,2019,1,19,19,nan,nan
2019-01-20,2019,1,20,20,nan,nan
2019-01-21,2019,1,21,21,0.923,nan
2019-01-22,2019,1,22,22,nan,nan
2019-01-23,2019,1,23,23,nan,nan
2019-01-24,2019,1,24,24,nan,nan
2019-01-25,2019,1,25,25,nan,nan
2019-01-26,2019,1,26,26,0.874,nan
2019-01-27,2019,1,27,27,0.858,nan
2019-01-28,2019,1,28,28,0.953,nan
2019-01-29,2019,1,29,29,nan,nan
2019-01-30,2019,1,30,30,nan,nan
2019-01-31,2019,1,31,31,nan,nan
2019-02-01,2019,2,1,32,0.935,nan
2019-02-02,2019,2,2,33,nan,nan
2019-02-03,2019,2,3,34,nan,nan
2019-02-04,2019,2,4,35,nan,nan
2019-02-05,2019,2,5,36,0.889,nan
2019-02-06,2019,2,6,37,0.919,nan
2019-02-07,2019,2,7,38,nan,nan
2019-02-08,2019,2,8,39,0.953,nan
2019-02-09,2019,2,9,40,0.924,nan
2019-02-10,2019,2,10,41,nan,nan
2019-02-11,2019,2,11,42,0.897,nan
2019-02-12,2019,2,12,43,nan,nan
2019-02-13,2019,2,13,44,nan,nan
2019-02-14,2019,2,14,45,nan,nan
2019-02-15,2019,2,15,46,nan,nan
2019-02-16,2019,2,16,47,nan,nan
2019-02-17,2019,2,17,48,nan,nan
2019-02-18,2019,2,18,49,nan,nan
2019-02-19,2019,2,19,50,0.970,nan
2019-02-20,2019,2,20,51,0.951,nan
